filename,text,tier
clean/plate_0000.png,AM32ULG,clean
clean/plate_0001.png,BL24HTH,clean
clean/plate_0002.png,PW29WBB,clean
clean/plate_0003.png,PH32UGT,clean
clean/plate_0004.png,GS61TLX,clean
clean/plate_0005.png,NF67DHP,clean
clean/plate_0006.png,GE82GHZ,clean
clean/plate_0007.png,HM27WCT,clean
clean/plate_0008.png,NS76DXB,clean
clean/plate_0009.png,AX88DXJ,clean
clean/plate_0010.png,PD78ZDM,clean
clean/plate_0011.png,ZK57FYA,clean
clean/plate_0012.png,ZN86FWM,clean
clean/plate_0013.png,WT99FLL,clean
clean/plate_0014.png,RK29WAR,clean
clean/plate_0015.png,VK17VWN,clean
clean/plate_0016.png,KY74UMY,clean
clean/plate_0017.png,TG98KDP,clean
clean/plate_0018.png,LG69UUD,clean
clean/plate_0019.png,LA92YXT,clean
clean/plate_0020.png,BF62RBN,clean
clean/plate_0021.png,UF48JMT,clean
clean/plate_0022.png,UG05SKY,clean
clean/plate_0023.png,JD85PHA,clean
clean/plate_0024.png,BA30YMN,clean
clean/plate_0025.png,WM30MNK,clean
clean/plate_0026.png,UY46RVB,clean
clean/plate_0027.png,TS26XBA,clean
clean/plate_0028.png,DB34KKJ,clean
clean/plate_0029.png,LP86MFK,clean
clean/plate_0030.png,MW96SEL,clean
clean/plate_0031.png,WA53GXX,clean
clean/plate_0032.png,SN48KYL,clean
clean/plate_0033.png,HU35ASC,clean
clean/plate_0034.png,ZW00HNE,clean
clean/plate_0035.png,ZS32XRS,clean
clean/plate_0036.png,HW58LZY,clean
clean/plate_0037.png,FY52ZLD,clean
clean/plate_0038.png,CR10LBT,clean
clean/plate_0039.png,RR44SHM,clean
clean/plate_0040.png,TK17DMV,clean
clean/plate_0041.png,WG05HST,clean
clean/plate_0042.png,CC33XTW,clean
clean/plate_0043.png,FU15FSU,clean
clean/plate_0044.png,LY15FDR,clean
clean/plate_0045.png,LH78BDT,clean
clean/plate_0046.png,KJ67CSR,clean
clean/plate_0047.png,CK33NEV,clean
clean/plate_0048.png,LB99VVA,clean
clean/plate_0049.png,SH90UHY,clean
clean/plate_0050.png,PY84KFX,clean
clean/plate_0051.png,KW97VMR,clean
clean/plate_0052.png,LX95TET,clean
clean/plate_0053.png,RV78WYY,clean
clean/plate_0054.png,UG97CRA,clean
clean/plate_0055.png,LD43PSF,clean
clean/plate_0056.png,GX03TTL,clean
clean/plate_0057.png,HW78CJL,clean
clean/plate_0058.png,YV21RRV,clean
clean/plate_0059.png,PV33MCX,clean
clean/plate_0060.png,RA53EYN,clean
clean/plate_0061.png,VC03UEV,clean
clean/plate_0062.png,HP09BZT,clean
clean/plate_0063.png,DB45BEK,clean
clean/plate_0064.png,ZT73NNE,clean
clean/plate_0065.png,NV33MHW,clean
clean/plate_0066.png,PC54RYH,clean
clean/plate_0067.png,VS92MMD,clean
clean/plate_0068.png,BY28HSS,clean
clean/plate_0069.png,XN60LHK,clean
clean/plate_0070.png,ZY61BDW,clean
clean/plate_0071.png,UX46JBM,clean
clean/plate_0072.png,SG04ESP,clean
clean/plate_0073.png,XJ47DTV,clean
clean/plate_0074.png,PV06SNJ,clean
clean/plate_0075.png,ZA92FTU,clean
clean/plate_0076.png,LM13LUR,clean
